scope,feature,class,pi_f1cls_mean,pi_f1cls_std
20.0,budget,grasp,0.012632100877960118,0.004159344315246461
20.0,nodes,grasp,0.0045989137240252335,0.001705236975833798
20.0,hull_vertices,grasp,0.003053613857988147,0.001410397643188379
20.0,hull_area,grasp,-0.00015968627607128029,0.0009267721009461207
20.0,hull_perimeter,grasp,-0.00046989913517916373,0.0017844233539423414
20.0,hull_compactness,grasp,4.600510227348309e-05,0.0007034384442080144
20.0,density,grasp,-0.0008305749763217074,0.0016196720802276478
20.0,budget_per_node,grasp,0.01718631055550972,0.0061669045998906874
20.0,rad_0_5__degree_min,grasp,0.0014557408951178853,0.0016132315301761503
20.0,rad_0_5__degree_avg,grasp,0.003262453202427307,0.0031385981869021
20.0,rad_0_5__clustering_avg,grasp,0.004395290300999788,0.001055670310170882
20.0,rad_1_0__clustering_avg,grasp,0.001269115426766465,0.0011499547491963696
20.0,knn_3__degree_max,grasp,-0.0002907198596576066,0.0004947146097171363
20.0,knn_3__degree_avg,grasp,0.001101390851674111,0.0009332876036944232
20.0,knn_3__components,grasp,-0.0009569428412828706,0.0009107019464760479
20.0,knn_3__component_largest,grasp,-0.0006311348665329452,0.001560114001148292
20.0,knn_3__component_avg_size,grasp,0.0010568775149136568,0.0005635580384399703
20.0,knn_3__clustering_avg,grasp,0.0020914250988825823,0.0012883272694727136
20.0,knn_5__degree_max,grasp,-0.0007135468621251029,0.0012875954970195083
20.0,knn_5__degree_avg,grasp,0.0020227029141768995,0.0010267334655681905
20.0,knn_5__components,grasp,0.0002812872021690671,0.0008222088580617038
20.0,knn_5__clustering_avg,grasp,0.00017772433049412228,0.0006668391059292594
20.0,knn_8__degree_max,grasp,-0.00021134869467271945,0.00034629412330054
20.0,knn_8__degree_avg,grasp,0.00011227673085836276,0.0009590166527955906
20.0,knn_8__components,grasp,0.0014669689439546607,0.0009113534704968446
20.0,knn_8__clustering_avg,grasp,-0.00037521020057971197,0.0011461019442841188
20.0,knn_12__degree_max,grasp,-3.330927954454665e-05,0.0008353602489777128
20.0,knn_12__degree_avg,grasp,-0.00046945461575516046,0.0004577294373136959
20.0,knn_12__components,grasp,0.0018879386229276429,0.0008168654375135208
20.0,knn_12__clustering_avg,grasp,-0.0005664756132667704,0.0020560226765905
20.0,nng_plain__degree_max,grasp,-0.0005352556984801638,0.0004370344477311356
20.0,nng_plain__degree_avg,grasp,-0.0003237784959888579,0.0004679355727252423
20.0,nng_plain__component_largest,grasp,-0.0012503227753139611,0.002323146901098162
20.0,nng_plain__clustering_avg,grasp,0.0,0.0
20.0,delaunay__degree_max,grasp,0.0008893179121471472,0.000975339707796626
20.0,delaunay__degree_avg,grasp,0.0010797812964656872,0.0010379282745409044
20.0,delaunay__clustering_avg,grasp,0.0009454976724906139,0.0006902583096460677
20.0,mst__degree_avg,grasp,0.0022688709947823902,0.001985409194885262
20.0,mst__mst_edge_sum,grasp,0.004420769146610115,0.0012844952386386935
20.0,mst__mst_edge_max,grasp,0.003367679097239007,0.0009435058607826655
20.0,mst__mst_diameter,grasp,0.0029309181816562723,0.0011153441105515288
20.0,mst__mst_edge_sum_per_sqrtA,grasp,0.0006345292886411169,0.0010210526521418548
20.0,mst__mst_edge_max_per_sqrtA,grasp,0.0005668621584542066,0.001108728403294427
20.0,mst__mst_edge_sum_units_s,grasp,0.0032510944198356428,0.0020857193701332667
20.0,mst__mst_edge_sum_units_m,grasp,0.0018704888637464557,0.0006979181104397093
20.0,budget,greedy,0.13615688078866423,0.08708613100446977
20.0,nodes,greedy,0.019201626873540677,0.01424559142486079
20.0,hull_vertices,greedy,0.013880383751786041,0.013306584225328186
20.0,hull_area,greedy,-0.0044461594529123126,0.010117272252863782
20.0,hull_perimeter,greedy,0.00238416003265971,0.007892816033147029
20.0,hull_compactness,greedy,-0.010305584573082182,0.0043930251772038515
20.0,density,greedy,-0.012817137480481921,0.01391537111598964
20.0,budget_per_node,greedy,0.18927743661942834,0.06780647276106894
20.0,rad_0_5__degree_min,greedy,-0.005537670467247968,0.01857606329794259
20.0,rad_0_5__degree_avg,greedy,-0.017654458260806603,0.027404216119483203
20.0,rad_0_5__clustering_avg,greedy,0.018599542695216454,0.004079237664546432
20.0,rad_1_0__clustering_avg,greedy,-0.011447914540382409,0.017352374063913854
20.0,knn_3__degree_max,greedy,-0.013380281690140872,0.010924954251849877
20.0,knn_3__degree_avg,greedy,0.009143751397272493,0.011798042572930678
20.0,knn_3__components,greedy,-0.01802816901408453,0.012547074620462022
20.0,knn_3__component_largest,greedy,0.005863781724161366,0.02083526782537536
20.0,knn_3__component_avg_size,greedy,-0.0044600938967136235,0.008920187793427247
20.0,knn_3__clustering_avg,greedy,-0.007726358148893386,0.025037038014765672
20.0,knn_5__degree_max,greedy,-0.01347417840375591,0.009780143945143954
20.0,knn_5__degree_avg,greedy,-0.01123766755120097,0.010541368327599358
20.0,knn_5__components,greedy,0.0037864870381710157,0.017209191430489743
20.0,knn_5__clustering_avg,greedy,-0.015761234071093245,0.01358335183587135
20.0,knn_8__degree_max,greedy,0.0035109205960400015,0.007021841192080002
20.0,knn_8__degree_avg,greedy,-0.02795387239724497,0.012795941376661412
20.0,knn_8__components,greedy,0.001373869817369655,0.011288842766198732
20.0,knn_8__clustering_avg,greedy,-0.003314962237191299,0.021252524962114033
20.0,knn_12__degree_max,greedy,-0.0022535211267605826,0.0027599884425726184
20.0,knn_12__degree_avg,greedy,-0.021071776001353505,0.014471044784808207
20.0,knn_12__components,greedy,-0.0022535211267605826,0.0027599884425726184
20.0,knn_12__clustering_avg,greedy,-0.02809960018199331,0.022610020387392973
20.0,nng_plain__degree_max,greedy,-0.013380281690140872,0.010924954251849877
20.0,nng_plain__degree_avg,greedy,-0.02347417840375591,0.0023474178403755765
20.0,nng_plain__component_largest,greedy,-0.032193924582502656,0.012268960677332245
20.0,nng_plain__clustering_avg,greedy,0.0,0.0
20.0,delaunay__degree_max,greedy,0.009406001224739714,0.01013772850650522
20.0,delaunay__degree_avg,greedy,-0.01685264656342935,0.015201302154858572
20.0,delaunay__clustering_avg,greedy,0.0012716880996121228,0.01872585235914192
20.0,mst__degree_avg,greedy,0.012196860367809925,0.02254058659067472
20.0,mst__mst_edge_sum,greedy,0.0069901763522310255,0.009231903031976458
20.0,mst__mst_edge_max,greedy,0.019626454378444548,0.02294539185336526
20.0,mst__mst_diameter,greedy,0.014523977962141166,0.011653294031739718
20.0,mst__mst_edge_sum_per_sqrtA,greedy,-0.022688171914153187,0.012744363697940804
20.0,mst__mst_edge_max_per_sqrtA,greedy,-0.02432001445507139,0.02570047282260526
20.0,mst__mst_edge_sum_units_s,greedy,-0.01736285807536845,0.016255433544764875
20.0,mst__mst_edge_sum_units_m,greedy,-0.016777070336784817,0.011713954214861525
20.0,budget,ils,0.22225631890241254,0.06671608562839525
20.0,nodes,ils,-0.022881683405069353,0.013455217645303155
20.0,hull_vertices,ils,0.007820981499944613,0.010446526568149598
20.0,hull_area,ils,-0.020265759196240497,0.006140594121026705
20.0,hull_perimeter,ils,-0.028557770215524227,0.010603600829936007
20.0,hull_compactness,ils,0.010413204829954581,0.009770411613344738
20.0,density,ils,-0.024297924297924302,0.010198131946489584
20.0,budget_per_node,ils,0.1687144100759111,0.03964138084134798
20.0,rad_0_5__degree_min,ils,0.014033114332217012,0.006302923295989032
20.0,rad_0_5__degree_avg,ils,0.012971832819294904,0.019459614467529543
20.0,rad_0_5__clustering_avg,ils,0.021697301258617317,0.014495721927786689
20.0,rad_1_0__clustering_avg,ils,-0.02022408963585435,0.0076469049142636435
20.0,knn_3__degree_max,ils,0.0,0.0
20.0,knn_3__degree_avg,ils,0.010703580387631672,0.011885364686575618
20.0,knn_3__components,ils,-0.01599439775910364,0.0016246498599439719
20.0,knn_3__component_largest,ils,-0.03007549921207988,0.01801253803388556
20.0,knn_3__component_avg_size,ils,0.007776669990029905,0.00634962445786267
20.0,knn_3__clustering_avg,ils,0.007776669990029905,0.00634962445786267
20.0,knn_5__degree_max,ils,-0.007647058823529418,0.006243797383564969
20.0,knn_5__degree_avg,ils,0.0182784978398139,0.010468682136641304
20.0,knn_5__components,ils,0.030151993238154474,0.012863272558152032
20.0,knn_5__clustering_avg,ils,0.007776669990029905,0.00634962445786267
20.0,knn_8__degree_max,ils,-0.002549019607843139,0.005098039215686278
20.0,knn_8__degree_avg,ils,0.010614310913413583,0.0019161588600650793
20.0,knn_8__components,ils,0.02087072116982387,0.006458165046885981
20.0,knn_8__clustering_avg,ils,0.0009970089730807485,0.006242263546360333
20.0,knn_12__degree_max,ils,0.0026354270521767977,0.009630069936660811
20.0,knn_12__degree_avg,ils,0.0,0.0
20.0,knn_12__components,ils,0.02663517922762677,0.012894263990337473
20.0,knn_12__clustering_avg,ils,0.0033765370555001615,0.011758367981783502
20.0,nng_plain__degree_max,ils,0.0,0.0
20.0,nng_plain__degree_avg,ils,0.0,0.0
20.0,nng_plain__component_largest,ils,0.007007548782224748,0.011907135735650188
20.0,nng_plain__clustering_avg,ils,0.0,0.0
20.0,delaunay__degree_max,ils,-0.005098039215686278,0.006243797383564969
20.0,delaunay__degree_avg,ils,-0.020319753686598618,0.008054976125243179
20.0,delaunay__clustering_avg,ils,-0.010153945875871017,0.009470129542095604
20.0,mst__degree_avg,ils,-0.027772420443587277,0.012496635017015752
20.0,mst__mst_edge_sum,ils,-0.004560425985866501,0.012260712627724152
20.0,mst__mst_edge_max,ils,0.03344014267376118,0.006112633886677725
20.0,mst__mst_diameter,ils,0.00235294117647058,0.0019211684257122899
20.0,mst__mst_edge_sum_per_sqrtA,ils,0.00235294117647058,0.0019211684257122899
20.0,mst__mst_edge_max_per_sqrtA,ils,0.012961116650049842,0.0
20.0,mst__mst_edge_sum_units_s,ils,0.05501707771982363,0.015003996638234296
20.0,mst__mst_edge_sum_units_m,ils,-0.0032027481868866945,0.01414279532513612
20.0,budget,vns,0.0012370143517684395,0.002474028703536879
20.0,nodes,vns,0.005896835405032097,0.003474023716642834
20.0,hull_vertices,vns,0.004948057407073758,0.002474028703536879
20.0,hull_area,vns,0.0,0.0
20.0,hull_perimeter,vns,0.0,0.0
20.0,hull_compactness,vns,-0.002718884244187203,0.0028192376384728705
20.0,density,vns,0.00013510302890198388,0.0023675342180971923
20.0,budget_per_node,vns,0.0031361368496079845,0.004309160009030039
