model_tag,n_total,accuracy,tie_aware_acc,within_1pct,within_5pct,regret_abs_mean,regret_abs_median,regret_rel_mean,regret_rel_median,win_rate,tie_rate,loss_rate
global,3500,0.5171428571428571,0.42342857142857143,0.5437142857142857,0.8651428571428571,14.603428571428573,3.4666666666666486,0.02315296522512855,0.006728422731061642,0.336,0.5857142857142857,0.07828571428571429
per-limit-1.0s,700,0.5957142857142858,0.47285714285714286,0.5271428571428571,0.7742857142857142,17.107142857142858,2.6666666666666288,0.03159621778663855,0.005891602253997165,0.11285714285714285,0.82,0.06714285714285714
per-limit-10.0s,700,0.49142857142857144,0.3942857142857143,0.5342857142857143,0.8771428571428571,14.25904761904762,4.333333333333314,0.02212550955488721,0.007750447041210995,0.3742857142857143,0.5142857142857142,0.11142857142857143
per-limit-20.0s,700,0.51,0.38142857142857145,0.54,0.8928571428571429,15.505714285714285,4.499999999999943,0.021816953679882616,0.007852386237513827,0.41714285714285715,0.5042857142857143,0.07857142857142857
per-limit-40.0s,700,0.5157142857142857,0.39,0.5442857142857143,0.9014285714285715,15.028571428571428,4.333333333333314,0.01900896180060487,0.008244994110718426,0.47,0.4785714285714286,0.05142857142857143
per-limit-5.0s,700,0.4828571428571429,0.4757142857142857,0.5628571428571428,0.8814285714285715,12.04952380952381,1.6666666666666856,0.022801137231486784,0.0033155740767604495,0.2985714285714286,0.61,0.09142857142857143
