model_tag,limit_s,n,accuracy,tie_aware_acc,within_1pct,within_5pct,regret_abs_mean,regret_abs_median,regret_rel_mean,regret_rel_median,win_rate,tie_rate,loss_rate
global,1.0,700,0.5957142857142858,0.4585714285714286,0.5128571428571429,0.7671428571428571,17.348095238095237,3.0,0.03205054069632715,0.008378459687123942,0.12428571428571429,0.7942857142857143,0.08142857142857143
global,5.0,700,0.4757142857142857,0.4785714285714286,0.5671428571428572,0.8814285714285715,12.143809523809525,1.666666666666643,0.02266185551965675,0.002745471949831541,0.29428571428571426,0.6171428571428571,0.08857142857142856
global,10.0,700,0.4828571428571429,0.3985714285714286,0.5414285714285715,0.8714285714285714,14.174285714285714,4.333333333333314,0.021841778824843436,0.0074476426102225105,0.3657142857142857,0.5242857142857142,0.11
global,20.0,700,0.5114285714285715,0.39,0.55,0.9014285714285715,14.690476190476188,4.333333333333286,0.020525084443111817,0.0071044813974638936,0.42,0.5128571428571429,0.06714285714285714
global,40.0,700,0.52,0.3914285714285714,0.5471428571428572,0.9042857142857142,14.660476190476192,4.0,0.018685566641703604,0.007966058010666327,0.4757142857142857,0.48,0.04428571428571428
per-limit-1.0s,1.0,700,0.5957142857142858,0.47285714285714286,0.5271428571428571,0.7742857142857142,17.107142857142858,2.6666666666666288,0.03159621778663855,0.005891602253997165,0.11285714285714285,0.82,0.06714285714285714
per-limit-10.0s,10.0,700,0.49142857142857144,0.3942857142857143,0.5342857142857143,0.8771428571428571,14.25904761904762,4.333333333333314,0.02212550955488721,0.007750447041210995,0.3742857142857143,0.5142857142857142,0.11142857142857143
per-limit-20.0s,20.0,700,0.51,0.38142857142857145,0.54,0.8928571428571429,15.505714285714285,4.499999999999943,0.021816953679882616,0.007852386237513827,0.41714285714285715,0.5042857142857143,0.07857142857142857
per-limit-40.0s,40.0,700,0.5157142857142857,0.39,0.5442857142857143,0.9014285714285715,15.028571428571428,4.333333333333314,0.01900896180060487,0.008244994110718426,0.47,0.4785714285714286,0.05142857142857143
per-limit-5.0s,5.0,700,0.4828571428571429,0.4757142857142857,0.5628571428571428,0.8814285714285715,12.04952380952381,1.6666666666666856,0.022801137231486784,0.0033155740767604495,0.2985714285714286,0.61,0.09142857142857143
